goos: darwin
goarch: amd64
pkg: benchvis
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkTest/1-16     	59992872	        19.38 ns/op	         1.000 size	       1 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1-16     	69273589	        18.06 ns/op	         1.000 size	       1 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1-16     	69777583	        17.41 ns/op	         1.000 size	       1 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1-16     	69167574	        17.03 ns/op	         1.000 size	       1 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1-16     	71671498	        16.77 ns/op	         1.000 size	       1 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10-16    	39727372	        31.52 ns/op	        10.00 size	      16 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10-16    	33924459	        33.29 ns/op	        10.00 size	      16 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10-16    	38764453	        34.39 ns/op	        10.00 size	      16 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10-16    	38062602	        31.68 ns/op	        10.00 size	      16 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10-16    	34382266	        33.81 ns/op	        10.00 size	      16 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/100-16   	 5563228	       218.0 ns/op	       100.0 size	     112 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/100-16   	 5312660	       223.5 ns/op	       100.0 size	     112 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/100-16   	 5491160	       204.3 ns/op	       100.0 size	     112 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/100-16   	 5894450	       225.5 ns/op	       100.0 size	     112 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/100-16   	 4794484	       222.9 ns/op	       100.0 size	     112 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1000-16  	  689582	      1865 ns/op	      1000 size	    1024 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1000-16  	  608220	      1902 ns/op	      1000 size	    1024 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1000-16  	  633252	      1939 ns/op	      1000 size	    1024 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1000-16  	  721220	      1939 ns/op	      1000 size	    1024 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/1000-16  	  716167	      2012 ns/op	      1000 size	    1024 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10000-16 	   72008	     17148 ns/op	     10000 size	   10240 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10000-16 	   71737	     16766 ns/op	     10000 size	   10240 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10000-16 	   72560	     16263 ns/op	     10000 size	   10240 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10000-16 	   72273	     17981 ns/op	     10000 size	   10240 B/op	       1 allocs/op 12 cows/meter
BenchmarkTest/10000-16 	   76555	     16463 ns/op	     10000 size	   10240 B/op	       1 allocs/op 12 cows/meter
BenchmarkMarshal/1-16  	 2314956	       485.6 ns/op	         1.000 size	      64 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1-16  	 2420467	       501.3 ns/op	         1.000 size	      64 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1-16  	 2341750	       500.3 ns/op	         1.000 size	      64 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1-16  	 2450137	       486.8 ns/op	         1.000 size	      64 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1-16  	 2549860	       514.2 ns/op	         1.000 size	      64 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/10-16 	 1949727	       540.2 ns/op	        10.00 size	     128 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/10-16 	 2191652	       518.1 ns/op	        10.00 size	     128 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/10-16 	 2482442	       523.5 ns/op	        10.00 size	     128 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/10-16 	 2397584	       522.8 ns/op	        10.00 size	     128 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/10-16 	 2363973	       561.4 ns/op	        10.00 size	     128 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/100-16         	 1643979	       706.9 ns/op	       100.0 size	     584 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/100-16         	 1726419	       777.3 ns/op	       100.0 size	     584 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/100-16         	 1583268	       772.1 ns/op	       100.0 size	     584 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/100-16         	 1593830	       853.2 ns/op	       100.0 size	     584 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/100-16         	 1520188	       786.0 ns/op	       100.0 size	     584 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1000-16        	  412948	      3260 ns/op	      1000 size	    5302 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1000-16        	  349944	      3115 ns/op	      1000 size	    5302 B/op	       6 allocs/op 12 cows/meter
BenchmarkMarshal/1000-16        	  422732	      2887 ns/op	      1000 size	    5303 B/op	       6 allocs/op 12 cows/meter
